sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,16,,良好,0.1,0,20.3,17.2,9,0,0.6,1.2,0.5,4.7,89,"2024-06-27 10:00",,0,0.8,6,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,12,,良好,0.7,0.21,32.3,13.2,13,5,7,9.9,2.9,2.1,42,"2024-06-27 10:00",,0.1,2.7,11,0,120.65525382,24.39017512,312
新北(樹林),新北市,35,,良好,0.5,0.23,15.1,7.2,15,13,13.4,18.2,4.8,0.4,216,"2024-06-27 10:00",,0.2,10.7,25,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,28,,良好,0.6,,21.5,15.2,17,7,1.9,2.7,0.8,2,13,"2024-06-27 10:00",,0,8.7,16,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,34,,良好,1.2,0.17,35.9,10.3,24,12,6.9,8.9,2,0.2,165,"2024-06-27 10:00",,0.2,10.4,24,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,29,,良好,2.4,0.14,33.6,14.9,24,7,4.5,6.1,1.6,1.6,298,"2024-06-27 10:00",,0.1,8.8,23,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,29,,良好,1.6,0.21,40.3,14.2,14,10,6.8,9.4,2.5,0.7,5,"2024-06-27 10:00",,0.1,9,18,2,120.56373,23.96117,201
大城,彰化縣,25,,良好,2.4,0.12,48.1,17.6,21,9,4.8,6,1.1,2.5,31,"2024-06-27 10:00",,0.1,7.6,22,1,120.26964167,23.85493056,85
富貴角,新北市,15,,良好,0.5,0.07,23.8,16.5,8,4,1.4,2.3,0.8,0.8,31,"2024-06-27 10:00",,0,3.6,11,0,121.53656894,25.29681695,84
麥寮,雲林縣,21,,良好,2.2,0.15,39.9,15.6,20,6,5.3,7.2,1.8,2.3,14,"2024-06-27 10:00",,0.1,5.7,21,1,120.251825,23.753506,83
關山,臺東縣,14,,良好,0.5,0.07,13.9,7.5,11,0,1.4,2.8,1.4,2.1,215,"2024-06-27 10:00",,0,1.3,14,0,121.161933,23.045083,80
馬公,澎湖縣,23,,良好,,,28.1,25.6,9,,,,,1.2,262,"2024-06-27 10:00",,0.1,2.8,7,1,119.566158,23.569031,78
金門,金門縣,21,,良好,0.7,0.1,13.3,5.5,10,6,8.7,19.4,10.6,1.7,267,"2024-06-27 10:00",,0.1,6.5,14,0,118.312256,24.432133,77
馬祖,連江縣,44,,良好,1.8,0.48,37.1,24.2,32,12,3.8,5,1.2,2.5,185,"2024-06-27 10:00",,0.3,13.7,23,0,119.93149378,26.15188416,75
埔里,南投縣,37,,良好,1.1,0.12,23.1,7.3,14,10,1.2,3.8,2.6,1.4,315,"2024-06-27 10:00",,0.1,11.4,18,1,120.967903,23.968842,72
復興,高雄市,34,,良好,2.4,0.36,28.4,17.7,24,13,13.2,17.1,3.9,0.5,261,"2024-06-27 10:00",,0.3,10.5,22,1,120.312017,22.608711,71
永和,新北市,30,,良好,1.8,0.75,16.5,5.8,10,9,16,32.2,16.2,1.7,53,"2024-06-27 10:00",,0.5,9.1,15,1,121.516306,25.017,70
竹山,南投縣,23,,良好,0.6,0.07,29.5,10.0,12,5,1.5,2.5,1,1.4,252,"2024-06-27 10:00",,0.1,7,21,0,120.677306,23.756389,69
中壢,桃園市,42,,良好,2.3,0.51,12.5,5.0,20,7,25.7,56.7,30.9,0.8,4,"2024-06-27 10:00",,0.7,8.1,20,1,121.221667,24.953278,68
三重,新北市,40,,良好,1.8,0.58,12.9,4.6,23,7,24.6,63.4,38.7,-,-,"2024-06-27 10:00",,0.5,7.8,20,1,121.493806,25.072611,67
冬山,宜蘭縣,25,,良好,,,,4.6,25,4,,,,2.3,25,"2024-06-27 10:00",,0.2,6.1,25,0,121.792928,24.632203,66
宜蘭,宜蘭縣,15,,良好,0.6,0.19,25,9.3,15,1,3.7,5.5,1.7,2.3,104,"2024-06-27 10:00",,0.1,3.5,15,0,121.746394,24.747917,65
陽明,臺北市,10,,良好,0.8,0.09,15.7,11.1,5,0,1,1.7,0.6,3.4,350,"2024-06-27 10:00",,0,0.5,7,0,121.529583,25.182722,64
花蓮,花蓮縣,11,,良好,0.1,0.1,14.1,7.1,6,5,1,2.2,1.2,2.3,135,"2024-06-27 10:00",,0.1,2.5,11,0,121.599769,23.971306,63
臺東,臺東縣,8,,良好,0.8,0.12,13.9,9.0,6,2,2.1,4.6,2.4,0.5,143,"2024-06-27 10:00",,0,0.6,7,0,121.15045,22.755358,62
恆春,屏東縣,12,,良好,0.3,0.07,16,12.1,8,4,1,1.6,0.6,5.5,45,"2024-06-27 10:00",,0,3.7,9,0,120.788928,21.958069,61
潮州,屏東縣,29,,良好,,,,14.4,30,9,,,,1.8,39,"2024-06-27 10:00",,0.1,9,25,1,120.561175,22.523108,60
屏東,屏東縣,29,,良好,1.9,0.17,39.9,17.0,17,8,4.5,5.5,0.9,1.6,324,"2024-06-27 10:00",,0.2,9,24,1,120.488033,22.673081,59
小港,高雄市,34,,良好,5.3,0.17,18.2,12.6,19,11,17.7,27.5,9.7,1.6,269,"2024-06-27 10:00",,0.1,10.6,20,2,120.337736,22.565833,58
前鎮,高雄市,29,,良好,2.8,0.29,29.9,19.1,27,6,11.5,17.7,6.1,1.6,6,"2024-06-27 10:00",,0.2,8.9,23,1,120.30833356,22.6044507,57
前金,高雄市,30,,良好,,,,17.9,21,10,,,,1.2,262,"2024-06-27 10:00",,0.2,9.3,22,1,120.28676111,22.63390278,56
左營,高雄市,47,,良好,2,0.22,40.5,16.2,37,17,9.4,12,2.5,2.3,296,"2024-06-27 10:00",,0.2,14.5,30,1,120.292917,22.674861,54
楠梓,高雄市,40,,良好,1.2,0.21,41.2,19.4,31,13,7.3,9.2,1.8,1.6,275,"2024-06-27 10:00",,0.2,12.4,24,0,120.328289,22.733667,53
林園,高雄市,36,,良好,1.8,0.11,32.5,20.7,16,8,2.3,3.2,0.8,1.7,95,"2024-06-27 10:00",,0.1,11.2,25,1,120.41175,22.4795,52
