,站點,城市,aqi,狀態,pm25
0,屏東(枋山),屏東縣,16,良好,0.8
1,大甲（日南國小）,臺中市,12,良好,2.7
2,新北(樹林),新北市,35,良好,10.7
3,屏東（琉球）,屏東縣,28,良好,8.7
4,臺南（麻豆）,臺南市,34,良好,10.4
5,高雄（湖內）,高雄市,29,良好,8.8
6,彰化（員林）,彰化縣,29,良好,9.0
7,大城,彰化縣,25,良好,7.6
8,富貴角,新北市,15,良好,3.6
9,麥寮,雲林縣,21,良好,5.7
10,關山,臺東縣,14,良好,1.3
11,馬公,澎湖縣,23,良好,2.8
12,金門,金門縣,21,良好,6.5
13,馬祖,連江縣,44,良好,13.7
14,埔里,南投縣,37,良好,11.4
15,復興,高雄市,34,良好,10.5
16,永和,新北市,30,良好,9.1
17,竹山,南投縣,23,良好,7.0
18,中壢,桃園市,42,良好,8.1
19,三重,新北市,40,良好,7.8
20,冬山,宜蘭縣,25,良好,6.1
21,宜蘭,宜蘭縣,15,良好,3.5
22,陽明,臺北市,10,良好,0.5
23,花蓮,花蓮縣,11,良好,2.5
24,臺東,臺東縣,8,良好,0.6
25,恆春,屏東縣,12,良好,3.7
26,潮州,屏東縣,29,良好,9.0
27,屏東,屏東縣,29,良好,9.0
28,小港,高雄市,34,良好,10.6
29,前鎮,高雄市,29,良好,8.9
30,前金,高雄市,30,良好,9.3
31,左營,高雄市,47,良好,14.5
32,楠梓,高雄市,40,良好,12.4
33,林園,高雄市,36,良好,11.2
34,大寮,高雄市,45,良好,13.8
35,鳳山,高雄市,30,良好,6.0
36,仁武,高雄市,41,良好,12.5
37,橋頭,高雄市,34,良好,10.5
38,美濃,高雄市,23,良好,7.0
39,臺南,臺南市,42,良好,13.0
40,安南,臺南市,29,良好,9.0
41,善化,臺南市,31,良好,9.7
42,新營,臺南市,32,良好,9.8
43,嘉義,嘉義市,24,良好,7.3
44,臺西,雲林縣,31,良好,9.6
45,朴子,嘉義縣,31,良好,9.5
46,新港,嘉義縣,40,良好,12.4
47,崙背,雲林縣,40,良好,12.2
48,斗六,雲林縣,24,良好,7.5
49,南投,南投縣,16,良好,5.0
50,二林,彰化縣,40,良好,12.4
51,線西,彰化縣,23,良好,7.0
52,彰化,彰化縣,16,良好,2.6
53,西屯,臺中市,24,良好,7.5
54,忠明,臺中市,16,良好,4.8
55,大里,臺中市,16,良好,5.0
56,沙鹿,臺中市,21,良好,6.5
57,豐原,臺中市,13,良好,2.7
58,三義,苗栗縣,11,良好,2.2
59,苗栗,苗栗縣,12,良好,3.2
60,頭份,苗栗縣,21,良好,6.5
61,新竹,新竹市,19,良好,5.9
62,竹東,新竹縣,18,良好,5.5
63,湖口,新竹縣,26,良好,7.9
64,龍潭,桃園市,18,良好,5.0
65,平鎮,桃園市,22,良好,6.0
66,觀音,桃園市,30,良好,9.1
67,大園,桃園市,19,良好,5.8
68,桃園,桃園市,27,良好,8.2
69,大同,臺北市,46,良好,14.2
70,松山,臺北市,17,良好,3.7
71,古亭,臺北市,24,良好,7.4
72,萬華,臺北市,28,良好,7.2
73,中山,臺北市,31,良好,9.7
74,士林,臺北市,26,良好,8.0
75,淡水,新北市,22,良好,6.7
76,林口,新北市,23,良好,7.2
77,菜寮,新北市,24,良好,7.4
78,新莊,新北市,28,良好,8.7
79,板橋,新北市,23,良好,7.0
80,土城,新北市,34,良好,10.5
81,新店,新北市,31,良好,9.7
82,萬里,新北市,12,良好,2.2
83,汐止,新北市,22,良好,6.8
84,基隆,基隆市,13,良好,3.6
85,屏東(枋山),屏東縣,15,良好,0.8
86,大甲（日南國小）,臺中市,10,良好,2.0
87,新北(樹林),新北市,35,良好,9.7
88,屏東（琉球）,屏東縣,29,良好,8.8
89,臺南（麻豆）,臺南市,31,良好,9.4
90,高雄（湖內）,高雄市,28,良好,8.7
91,彰化（員林）,彰化縣,28,良好,8.5
92,大城,彰化縣,23,良好,7.2
93,富貴角,新北市,14,良好,4.0
94,麥寮,雲林縣,21,良好,5.5
95,關山,臺東縣,14,良好,1.7
96,馬公,澎湖縣,23,良好,2.8
97,金門,金門縣,21,良好,6.5
98,馬祖,連江縣,44,良好,13.6
99,埔里,南投縣,36,良好,11.2
100,復興,高雄市,31,良好,9.6
101,永和,新北市,31,良好,9.5
102,竹山,南投縣,24,良好,7.4
103,中壢,桃園市,35,良好,9.0
104,三重,新北市,32,良好,8.0
105,冬山,宜蘭縣,25,良好,6.5
106,宜蘭,宜蘭縣,16,良好,4.3
107,陽明,臺北市,9,良好,0.8
108,花蓮,花蓮縣,15,良好,2.5
109,臺東,臺東縣,7,良好,0.3
110,恆春,屏東縣,12,良好,3.8
111,潮州,屏東縣,30,良好,9.1
112,屏東,屏東縣,28,良好,8.7
